Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
Shai Gilgeous-Alexander,1,32.7,5,6.4
Giannis Antetokounmpo,2,30.4,11.9,6.5
Nikola Jokic,3,29.6,12.7,10.2
Luka Doncic,4,28.2,8.1,7.5
Luka Doncic,5,28.1,8.3,7.8
Anthony Edwards,6,27.6,5.7,4.5
Jayson Tatum,7,26.8,8.7,6
Kevin Durant,8,26.6,6,4.2
Tyrese Maxey,9,26.3,3.3,6.1
Cade Cunningham,10,26.1,6.1,9.1
Jalen Brunson,11,26,2.9,7.3
Paolo Banchero,12,25.9,7.5,4.8
Anthony Davis,4,25.7,11.9,3.4
Devin Booker,8,25.6,4.1,7.1
LaMelo Ball,13,25.2,4.9,7.4
De'Aaron Fox,14,25,5,6.1
Damian Lillard,2,24.9,4.7,7.1
Kyrie Irving,5,24.7,4.8,4.6
Zion Williamson,15,24.6,7.2,5.3
Stephen Curry,16,24.5,4.4,6
Karl-Anthony Towns,11,24.4,12.8,3.1
LeBron James,4,24.4,7.8,8.2
Victor Wembanyama,17,24.3,11,3.7
Franz Wagner,12,24.2,5.7,4.7
Trae Young,18,24.2,3.1,11.6
Cam Thomas,19,24,3.3,3.8
Donovan Mitchell,20,24,4.5,5
Zach LaVine,21,24,4.8,4.5
Tyler Herro,22,23.9,5.2,5.5
Joel Embiid,9,23.8,8.2,4.5
Ja Morant,23,23.2,4.1,7.3
James Harden,24,22.8,5.8,8.7
Zach LaVine,14,22.4,3.5,3.8
Jaren Jackson Jr.,23,22.2,5.6,2
Jaylen Brown,7,22.2,5.8,4.5
Brandon Ingram,15,22.2,5.6,5.2
DeMar DeRozan,14,22.2,3.9,4.4
Quentin Grimes,9,21.9,5.2,4.5
Norman Powell,24,21.8,3.2,2.1
Jalen Williams,1,21.6,5.3,5.2
Kawhi Leonard,24,21.5,5.9,3.1
Jamal Murray,3,21.4,3.9,6
Trey Murphy III,15,21.2,5.1,3.5
RJ Barrett,25,21.1,6.3,5.4
CJ McCollum,15,21.1,3.8,4.1
Brandon Miller,13,21,4.9,3.6
Jalen Green,26,21,4.6,3.4
Darius Garland,20,20.6,2.9,6.7
Jordan Poole,27,20.5,3,4.4
Coby White,21,20.4,3.7,4.5
Miles Bridges,13,20.3,7.5,3.9
Austin Reaves,4,20.2,4.5,5.8
Pascal Siakam,28,20.2,6.9,3.4
Anthony Davis,5,20,10.1,4.4
De'Aaron Fox,17,19.7,4.3,6.8
Kristaps Porzingis,7,19.5,6.8,2.1
Scottie Barnes,25,19.3,7.7,5.8
Anfernee Simons,29,19.3,2.7,4.8
Desmond Bane,23,19.2,6.1,5.3
Alperen Sengun,26,19.1,10.4,4.9
Domantas Sabonis,14,19.1,13.9,6
De'Andre Hunter,18,19,3.9,1.5
John Collins,30,19,8.2,2
Lauri Markkanen,30,19,5.9,1.5
Andrew Wiggins,22,19,4.2,3.3
Jalen Johnson,18,18.9,10,5
Cameron Johnson,19,18.8,4.3,3.4
Julius Randle,6,18.7,7.1,4.7
Tyrese Haliburton,28,18.6,3.5,9.2
Shaedon Sharpe,29,18.5,4.5,2.8
Evan Mobley,20,18.5,9.3,3.2
Nikola Vucevic,21,18.5,10.1,3.5
Collin Sexton,30,18.4,2.7,4.2
Dennis Schroder,19,18.4,3,6.6
Michael Porter Jr.,3,18.2,7,2.1
Bam Adebayo,22,18.1,9.6,4.3
O.G. Anunoby,11,18,4.8,2.2
Jimmy Butler,16,17.9,5.5,5.9
Jaden Ivey,10,17.6,4.1,4
Mikal Bridges,11,17.6,3.2,3.7
Andrew Wiggins,16,17.6,4.6,2.3
Dejounte Murray,15,17.5,6.5,7.4
Malik Monk,14,17.2,3.8,5.6
Immanuel Quickley,25,17.1,3.5,5.8
Jacob Toppin,18,17,4,2
Bradley Beal,8,17,3.3,3.7
Jimmy Butler,22,17,5.2,4.8
Deni Avdija,29,16.9,7.3,3.9
Keyonte George,30,16.8,3.8,5.6
Ivica Zubac,24,16.8,12.6,2.7
Derrick White,7,16.4,4.5,4.8
Devin Vassell,17,16.3,4,2.9
Malik Beasley,10,16.3,2.6,1.7
Jalen Suggs,12,16.2,4,3.7
Jordan Clarkson,30,16.2,3.2,3.7
Paul George,9,16.2,5.3,4.3
Bennedict Mathurin,28,16.1,5.3,1.9
Myles Turner,28,15.6,6.5,1.5
Christian Braun,3,15.4,5.2,2.6
Jared McCain,9,15.3,2.4,2.6
Mark Williams,13,15.3,10.2,2.5
Jonathan Kuminga,16,15.3,4.6,2.2
Kyle Kuzma,27,15.2,5.8,2.5
Kelly Oubre Jr.,9,15.1,6.1,1.8
Chet Holmgren,1,15,8,2
Caris LeVert,18,14.9,3.7,2.9
Stephon Castle,17,14.7,3.7,4.1
P.J. Washington,5,14.7,7.8,2.3
Aaron Gordon,3,14.7,4.8,3.2
Josh Giddey,21,14.6,8.1,7.2
Kyle Kuzma,2,14.5,5.6,2.2
Jakob Poeltl,25,14.5,9.6,2.8
Gradey Dick,25,14.4,3.6,1.8
Deandre Ayton,29,14.4,10.2,1.6
Jerami Grant,29,14.4,3.5,2.1
Payton Pritchard,7,14.3,3.8,3.5
De'Andre Hunter,20,14.3,4.2,1.3
Naz Reid,6,14.2,6,2.3
Amen Thompson,26,14.1,8.2,3.8
Dyson Daniels,18,14.1,5.9,4.4
Tre Mann,13,14.1,2.9,3
Fred VanVleet,26,14.1,3.7,5.6
Tolu Smith,10,14,8,0
Dillon Brooks,26,14,3.7,1.7
Klay Thompson,5,14,3.4,2
Tobias Harris,10,13.7,5.9,2.2
Josh Hart,11,13.6,9.6,5.9
Bobby Portis,2,13.6,8.2,2.1
Jarrett Allen,20,13.5,9.7,1.9
Onyeka Okongwu,18,13.4,8.9,2.3
Russell Westbrook,3,13.3,4.9,6.1
Naji Marshall,5,13.2,4.8,3
Kevin Huerter,21,13.2,3.3,3.2
Rui Hachimura,4,13.1,5,1.4
Alexandre Sarr,27,13,6.5,2.4
Brook Lopez,2,13,5,1.8
Moritz Wagner,12,12.9,4.9,1.4
D'Angelo Russell,19,12.9,2.8,5.6
Scoot Henderson,29,12.7,3,5.1
Keldon Johnson,17,12.7,4.8,1.6
Malcolm Brogdon,27,12.7,3.8,4.1
Zaccharie Risacher,18,12.6,3.6,1.2
Khris Middleton,2,12.6,3.7,4.4
Santi Aldama,23,12.5,6.4,2.9
Ty Jerome,20,12.5,2.5,3.4
Keegan Murray,14,12.4,6.7,1.4
Lonnie Walker IV,9,12.4,3.2,2.5
D'Angelo Russell,4,12.4,2.8,4.7
Bilal Coulibaly,27,12.3,5,3.4
Ayo Dosunmu,21,12.3,3.5,4.5
Daniel Gafford,5,12.3,6.8,1.4
Harrison Barnes,17,12.3,3.8,1.7
Jabari Smith Jr.,26,12.2,7,1.1
Jaden McDaniels,6,12.2,5.7,2
Drew Timme,19,12.1,7.2,2.2
Georges Niang,18,12.1,3,1.6
Tari Eason,26,12,6.4,1.5
Aaron Wiggins,1,12,3.9,1.8
Aaron Nesmith,28,12,4,1.2
Rudy Gobert,6,12,10.9,1.8
Jalen Duren,10,11.8,10.3,2.7
Moses Brown,5,11.8,7.8,0.5
Brandin Podziemski,16,11.7,5.1,3.4
Kevin Porter Jr.,2,11.7,3.9,3.7
Donte DiVincenzo,6,11.7,3.7,3.6
Corey Kispert,27,11.6,3,1.7
Jared Butler,9,11.5,2.5,4.9
Tre Jones,21,11.5,3.2,4.9
Jonas Valanciunas,27,11.5,8.2,2.2
Kai Jones,5,11.4,6.6,1.3
Jared Rhoden,25,11.4,3.8,1.4
Jeremy Sochan,17,11.4,6.5,2.4
Bogdan Bogdanovic,24,11.4,3.1,3.2
Toumani Camara,29,11.3,5.8,2.2
Max Christie,5,11.2,4.2,2.5
Walker Kessler,30,11.1,12.2,1.7
Gary Trent Jr.,2,11.1,2.3,1.2
Isaiah Hartenstein,1,11.1,10.7,3.8
Buddy Hield,16,11.1,3.2,1.6
Jrue Holiday,7,11.1,4.3,3.9
Duncan Robinson,22,11,2.3,2.4
Guerschon Yabusele,9,11,5.6,2.1
Spencer Dinwiddie,5,11,2.6,4.4
Tim Hardaway Jr.,10,11,2.4,1.6
Brice Sensabaugh,30,10.9,3,1.5
Jordan Hawkins,15,10.8,2.8,1.2
Dennis Schroder,10,10.8,2.6,5.3
Nikola Jovic,22,10.7,3.9,2.8
Brandon Boston Jr.,15,10.7,3.2,2.2
Kelly Olynyk,15,10.7,5.9,3.6
Khris Middleton,27,10.7,3.7,3.4
Keon Johnson,19,10.6,3.8,2.2
Grayson Allen,8,10.6,3,2.1
Terry Rozier,22,10.6,3.7,2.6
Dennis Schroder,16,10.6,2.3,4.4
Obi Toppin,28,10.5,4,1.6
Jaylen Wells,23,10.4,3.4,1.7
Ochai Agbaji,25,10.4,3.8,1.5
Grant Williams,13,10.4,5.1,2.3
Dorian Finney-Smith,19,10.4,4.6,1.6
Jose Alvarado,15,10.3,2.4,4.6
Davion Mitchell,22,10.3,2.7,5.3
Herbert Jones,15,10.3,3.9,3.3
Nic Claxton,19,10.3,7.4,2.2
Trendon Watford,19,10.2,3.6,2.6
Isaiah Joe,1,10.2,2.6,1.6
Quentin Grimes,5,10.2,3.8,2.1
De'Anthony Melton,16,10.2,3.3,2.8
Caris LeVert,20,10.2,2.8,3.7
Tyus Jones,8,10.2,2.4,5.3
Justin Edwards,9,10.1,3.4,1.6
Ausar Thompson,10,10.1,5.1,2.3
Keion Brooks Jr.,15,10.1,4.1,0.9
Luguentz Dort,1,10.1,4.1,1.6
Derrick Jones Jr.,24,10.1,3.4,0.8
Ziaire Williams,19,10,4.6,1.3
Andrew Nembhard,28,10,3.3,5
Chris Boucher,25,10,4.5,0.7
Bogdan Bogdanovic,18,10,2.8,2
Nick Smith Jr.,13,9.9,2.1,2.4
Scotty Pippen Jr.,23,9.9,3.3,4.4
Julian Champagnie,17,9.9,3.9,1.4
Carlton Carrington,27,9.8,4.2,4.4
Moses Moody,16,9.8,2.6,1.3
Terance Mann,18,9.8,3.1,2.1
Amir Coffey,24,9.7,2.2,1.1
Kyle Filipowski,30,9.6,6.1,1.9
Tosan Evbuomwan,19,9.5,4.3,2
Jalen Wilson,19,9.5,3.4,1.8
Miles McBride,11,9.5,2.5,2.9
Nick Richards,8,9.5,8.6,0.6
Tristan Vukcevic,27,9.4,3.7,1.1
Cam Whitmore,26,9.4,3,1
Anthony Black,12,9.4,3,3.1
Cole Anthony,12,9.4,3,2.9
Nickeil Alexander-Walker,6,9.4,3.2,2.7
Max Strus,20,9.4,4.3,3.2
Kel'el Ware,22,9.3,7.4,0.9
Kevin Porter Jr.,24,9.3,3.6,3.2
Marcus Smart,27,9.3,1.9,2.5
Zach Edey,23,9.2,8.3,1
Jusuf Nurkic,13,9.2,6.5,2.6
AJ Johnson,27,9.1,2.4,3.1
Yves Missi,15,9.1,8.2,1.4
Dalton Knecht,4,9.1,2.8,0.8
Noah Clowney,19,9.1,3.9,0.9
A.J. Lawson,25,9.1,3.3,1.2
Caleb Martin,9,9.1,4.4,2.3
Wendell Carter Jr.,12,9.1,7.2,2
Royce O'Neale,8,9.1,4.7,2.2
T.J. McConnell,28,9.1,2.4,4.4
Julian Strawther,3,9,2.2,1.3
Patrick Williams,21,9,3.8,2
Killian Hayes,19,9,3,5.2
Draymond Green,16,9,6.1,5.6
Al Horford,7,9,6.2,2.1
Johnny Juzang,30,8.9,2.9,1.1
Nick Richards,13,8.9,7.5,1.3
Josh Okogie,13,8.9,2.7,1.3
Luke Kennard,23,8.9,2.8,3.3
Clint Capela,18,8.9,8.5,1.1
Justin Champagnie,27,8.8,5.7,1
Svi Mykhailiuk,30,8.8,2.4,2
Chris Paul,17,8.8,3.6,7.4
Oshae Brissett,9,8.7,3.7,0.7
Colby Jones,27,8.7,4.3,2.5
Kyshawn George,27,8.7,4.2,2.5
Isaiah Collier,30,8.7,3.3,6.3
Dereck Lively II,5,8.7,7.5,2.4
Tyrese Martin,19,8.7,3.7,2
Jaden Hardy,5,8.7,1.6,1.4
Georges Niang,20,8.7,3.7,1.3
Dante Exum,5,8.7,1.7,2.8
Marcus Smart,23,8.7,2.3,3.7
Kentavious Caldwell-Pope,12,8.7,2.2,1.8
Jonas Valanciunas,14,8.7,7,1.8
Lester Quinones,15,8.6,1.7,2.6
Ja'Kobe Walter,25,8.6,3.1,1.6
Matas Buzelis,21,8.6,3.5,1
Jaime Jaquez Jr.,22,8.6,4.4,2.5
Zach Collins,21,8.6,6.7,2.1
Jusuf Nurkic,8,8.6,9.2,1.9
Max Christie,4,8.5,2.7,1.4
Sam Hauser,7,8.5,3.2,0.9
Larry Nance Jr.,18,8.5,4.3,1.6
Cason Wallace,1,8.4,3.4,2.5
Jaylen Nowell,15,8.4,2.5,2.3
Bruce Brown,25,8.4,3.8,1.6
Keon Ellis,14,8.3,2.7,1.5
Dalano Banton,29,8.3,2,2.4
Brandon Williams,5,8.3,1.8,2.3
Brandon Clarke,23,8.3,5.1,1
Jalen Smith,21,8.2,5.6,1
Bruce Brown,15,8.2,4.2,2.4
Taurean Prince,2,8.2,3.6,1.9
Mike Conley,6,8.2,2.6,4.5
Quinten Post,16,8.1,3.5,1.3
Peyton Watson,3,8.1,3.4,1.4
Orlando Robinson,25,8.1,5.9,1.9
Tyson Etienne,19,7.9,1.3,1.7
Day'Ron Sharpe,19,7.9,6.6,1.8
Kevin Huerter,14,7.9,2.8,1.7
Dorian Finney-Smith,4,7.9,3.6,1.4
Jalen Hood-Schifino,9,7.8,2,2.8
KJ Simpson,13,7.8,3,3.1
Cody Martin,13,7.8,4.5,2.3
Karlo Matkovic,15,7.7,5,1.1
Oscar Tshiebwe,30,7.6,8.7,0.6
Lonzo Ball,21,7.6,3.4,3.3
Matisse Thybulle,29,7.5,3.5,1.9
Garrison Mathews,18,7.5,1.9,1.3
Vasilije Micic,13,7.5,2.4,3.5
Cole Swider,25,7.4,3.1,0.3
A.J. Green,2,7.4,2.4,1.5
Josh Green,13,7.4,2.5,1.6
Shake Milton,19,7.4,1.9,2.4
Richaun Holmes,27,7.4,5.7,1.4
